Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,NWIFC,Unspecified,WA,WA,Electronic,Hatchery,Hatchery Returns,MPS,7516,8181.78
2010,NWIFC,Unspecified,WA,WA,Electronic,Hatchery,Hatchery Returns,NPS,34,60.18
2010,NWIFC,Unspecified,WA,WA,Electronic,Hatchery,Hatchery Returns,SPS,2602,3085.96
2010,NWIFC,Unspecified,WA,WA,Electronic,Spawning Ground,Spawning Ground,NPS,440,3484.8
2010,NWIFC,Unspecified,WA,WA,Electronic,Wild Broodstock Collection,Brood Stocking,JUAN,1164,1164
2010,NWIFC,Unspecified,WA,WA,Electronic,Wild Broodstock Collection,Brood Stocking,NPS,228,237.12
2010,NWIFC,Unspecified,WA,WA,Visual,Spawning Ground,Spawning Ground,JUAN,40,1828
2014,USFWS,USFWS,WA,,Visual,Juvenile Sampling - trawl,Unspecified,CECA,1,
2014,USFWS,USFWS,WA,,Visual,Juvenile Sampling - Trawl (freshwater),Juvenile Sampling - Trawl,CECA,561,
2010,ODFW,ODFW,OR,CR,Electronic,Fish Trap (freshwater),Fish Trap,SNAK,40,40
2015,USFWS,USFWS,WA,,Visual,Juvenile Sampling - Seine (freshwater),Juvenile Sampling - Seine,CECA,1,
2010,ODFW,ODFW,OR,CR,Electronic,Freshwater Sport,Freshwater Sport,SNAK,4,4
2015,USFWS,USFWS,WA,,Visual,Juvenile Sampling - Trawl (freshwater),Juvenile Sampling - Trawl,CECA,599,
2016,USFWS,USFWS,WA,,Visual,Juvenile Sampling - Trawl (freshwater),Juvenile Sampling - Trawl,CECA,692,
2010,ODFW,ODFW,OR,OR,Electronic,Hatchery,ODFW Hatcheries,NOOR,1,1.01
2010,ODFW,ODFW,OR,OR,Electronic,Hatchery,ODFW Hatcheries,SOOR,625,631.24
2010,ODFW,ODFW,OR,OR,Electronic,Spawning Ground,Spawning Ground Survey,SOOR,46,308.2
2017,USFWS,USFWS,WA,,Visual,Juvenile Sampling - Trawl (freshwater),Juvenile Sampling - Trawl,CECA,2768,
2018,USFWS,USFWS,WA,,Visual,Juvenile Sampling - Seine (freshwater),Juvenile Sampling - Seine,CECA,1,
2018,USFWS,USFWS,WA,,Visual,Juvenile Sampling - Trawl (freshwater),Juvenile Sampling - Trawl,CECA,916,
2019,USFWS,USFWS,WA,,Visual,Juvenile Sampling - Seine (freshwater),Juvenile Sampling - Seine,CECA,1,
2019,USFWS,USFWS,WA,,Visual,Juvenile Sampling - Trawl (freshwater),Juvenile Sampling - Trawl,CECA,2145,
2010,ODFW,ODFW,OR,OR,Visual,Estuary Sport,Estuary Sport,NOOR,42,42
