Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,NWIFC,Unspecified,WA,WA,Electronic,Hatchery,Hatchery Returns,NOWA,504,504
2010,NWIFC,Unspecified,WA,WA,Electronic,Hatchery,Hatchery Returns,SPS,62,58
2010,ODFW,ODFW,OR,CR,Electronic,Columbia River Gillnet,Columbia River Gillnet,CECR,425,1763.89
2010,ODFW,ODFW,OR,,Electronic,Columbia River Gillnet,Columbia River Gillnet,LOCR,1722,3787.75
2010,ODFW,ODFW,OR,CR,Electronic,Hatchery,ODFW Hatcheries,LOCR,2762,2791.92
2010,ODFW,ODFW,OR,OR,Electronic,Hatchery,ODFW Hatcheries,SOOR,137,137
2010,ODFW,ODFW,OR,CR,Electronic,Test Fishery Net,Columbia River Test,LOCR,6,6
2010,ODFW,ODFW,OR,CR,Visual,Columbia River Sport,Columbia River Sport,LOCR,35,151.1
2010,ODFW,ODFW,OR,CR,Visual,Estuary Sport,Estuary Sport,LOCR,89,319.53
2010,ODFW,ODFW,OR,OR,Visual,Estuary Sport,Estuary Sport,NOOR,8,8
2010,ODFW,ODFW,OR,OR,Visual,Estuary Sport,Estuary Sport,SOOR,3,3
2010,ODFW,ODFW,OR,CR,Visual,Fish Trap (freshwater),Fish Trap,CECR,30,30
2010,ODFW,ODFW,OR,CR,Visual,Freshwater Sport,Freshwater Sport,CECR,1,1
2010,ODFW,ODFW,OR,CR,Visual,Freshwater Sport,Mid-Columbia River Sport,CECR,1,
2010,ODFW,ODFW,OR,CR,Visual,Hatchery,Other Oregon Hatcheries,CECR,89,89
2010,ODFW,ODFW,OR,CR,Visual,Hatchery,Other Oregon Hatcheries,LOCR,110,110
2010,ODFW,ODFW,OR,OR,Visual,Ocean Sport,Ocean Sport,NOOR,559,1674.08
2010,ODFW,ODFW,OR,OR,Visual,Ocean Sport,Ocean Sport,SOOR,29,79.65
2010,ODFW,ODFW,OR,OR,Visual,Ocean Troll (non-treaty),Ocean Troll,NOOR,18,68.24
2010,ODFW,ODFW,OR,CR,Visual,Spawning Ground,Spawning Ground Survey,LOCR,11,11
2010,ODFW,ODFW,OR,OR,Visual,Spawning Ground,Spawning Ground Survey,NOOR,1,1
2010,ODFW,ODFW,OR,CR,Visual,Spawning Ground,Spawning Ground Survey,SNAK,1,1
